dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ECG200,0,gap,0.05,0.05,clean_split_cp,65,35,350,100,2,1.0,1.85,0.15,1.0,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.05,aug_split_cp,65,35,350,100,2,0.96,1.45,0.55,0.9272727272727272,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.05,label_smooth_aug_cp,65,35,350,100,2,0.96,1.45,0.55,0.9272727272727272,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.05,confidence_weighted_cp,65,35,350,100,2,0.99,1.7,0.3,0.9666666666666667,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.05,fast_cp,65,35,350,100,2,0.98,1.51,0.49,0.9591836734693877,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.05,0.05,fast_cp_mixed,65,35,350,100,2,0.98,1.5,0.5,0.96,0.0,0.88,0.09393804700705594
ECG200,0,gap,0.1,0.05,clean_split_cp,65,35,350,100,2,1.0,1.87,0.13,1.0,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.05,aug_split_cp,65,35,350,100,2,0.98,1.46,0.54,0.9629629629629629,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.05,label_smooth_aug_cp,65,35,350,100,2,0.98,1.46,0.54,0.9629629629629629,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.05,confidence_weighted_cp,65,35,350,100,2,0.99,1.73,0.27,0.9629629629629629,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.05,fast_cp,65,35,350,100,2,0.98,1.51,0.49,0.9591836734693877,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.1,0.05,fast_cp_mixed,65,35,350,100,2,0.98,1.46,0.54,0.9629629629629629,0.0,0.82,0.1109891322045499
ECG200,0,gap,0.2,0.05,clean_split_cp,65,35,350,100,2,0.99,1.86,0.14,0.9285714285714286,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.05,aug_split_cp,65,35,350,100,2,0.98,1.49,0.51,0.9607843137254902,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.05,label_smooth_aug_cp,65,35,350,100,2,0.98,1.49,0.51,0.9607843137254902,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.05,confidence_weighted_cp,65,35,350,100,2,0.98,1.74,0.26,0.9230769230769231,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.05,fast_cp,65,35,350,100,2,0.98,1.5,0.5,0.96,0.0,0.8,0.1358568429436866
ECG200,0,gap,0.2,0.05,fast_cp_mixed,65,35,350,100,2,0.98,1.51,0.49,0.9591836734693877,0.0,0.8,0.1358568429436866
ECG200,0,noise,0.05,0.05,clean_split_cp,65,35,350,100,2,1.0,1.86,0.14,1.0,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.05,aug_split_cp,65,35,350,100,2,0.96,1.47,0.53,0.9245283018867925,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.05,label_smooth_aug_cp,65,35,350,100,2,0.96,1.47,0.53,0.9245283018867925,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.05,confidence_weighted_cp,65,35,350,100,2,0.99,1.67,0.33,0.9696969696969697,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.05,fast_cp,65,35,350,100,2,0.96,1.49,0.51,0.9215686274509803,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.05,fast_cp_mixed,65,35,350,100,2,0.96,1.48,0.52,0.9230769230769231,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.1,0.05,clean_split_cp,65,35,350,100,2,1.0,1.8,0.2,1.0,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,aug_split_cp,65,35,350,100,2,0.97,1.47,0.53,0.9433962264150944,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,label_smooth_aug_cp,65,35,350,100,2,0.97,1.47,0.53,0.9433962264150944,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,confidence_weighted_cp,65,35,350,100,2,0.99,1.65,0.35,0.9714285714285714,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,fast_cp,65,35,350,100,2,0.96,1.48,0.52,0.9230769230769231,0.0,0.82,0.13782659974132982
